trip_id,pickup_date,pickup_hour,pickup_borough,dropoff_borough,payment_type,fare_amount,tip_amount,trip_miles,airport_flag
T-001,2025-01-03,6,Manhattan,Queens,Card,32.50,6.20,8.4,true
T-002,2025-01-03,7,Brooklyn,Manhattan,Card,21.40,4.10,5.6,false
T-003,2025-01-04,8,Queens,Manhattan,Cash,27.80,0.00,7.1,true
T-004,2025-01-04,9,Manhattan,Brooklyn,Card,18.90,3.70,4.9,false
T-005,2025-01-05,11,Bronx,Manhattan,Card,25.70,5.10,6.8,false
T-006,2025-01-05,12,Manhattan,Queens,Card,34.20,6.80,8.9,true
T-007,2025-01-06,14,Manhattan,Manhattan,Card,12.30,2.50,2.1,false
T-008,2025-01-06,17,Brooklyn,Queens,Cash,19.60,0.00,5.2,false
T-009,2025-01-07,8,Queens,Manhattan,Card,29.10,5.80,7.5,true
T-010,2025-01-07,22,Manhattan,Brooklyn,Card,16.40,3.30,4.2,false
T-011,2025-01-08,6,Manhattan,Queens,Card,35.80,7.10,9.1,true
T-012,2025-01-08,9,Staten Island,Manhattan,Card,42.30,8.40,12.3,false
T-013,2025-01-09,10,Brooklyn,Manhattan,Cash,23.50,0.00,6.1,false
T-014,2025-01-09,15,Manhattan,Bronx,Card,28.90,5.70,7.8,false
T-015,2025-01-10,7,Queens,Manhattan,Card,31.20,6.20,8.0,true
T-016,2025-01-10,18,Manhattan,Brooklyn,Cash,14.80,0.00,3.8,false
T-017,2025-01-11,8,Brooklyn,Queens,Card,17.60,3.50,4.5,false
T-018,2025-01-11,11,Manhattan,Queens,Card,33.40,6.60,8.7,true
T-019,2025-01-12,13,Bronx,Manhattan,Cash,26.10,0.00,6.9,false
T-020,2025-01-12,19,Manhattan,Manhattan,Card,9.80,2.00,1.6,false
T-021,2025-01-13,7,Queens,Manhattan,Card,30.50,6.10,7.8,true
T-022,2025-01-13,16,Brooklyn,Manhattan,Card,22.70,4.50,5.9,false
T-023,2025-01-14,9,Manhattan,Brooklyn,Cash,15.90,0.00,4.1,false
T-024,2025-01-14,20,Manhattan,Queens,Card,36.10,7.20,9.3,true
T-025,2025-01-15,6,Staten Island,Manhattan,Card,44.60,8.90,12.8,false
T-026,2025-01-15,12,Manhattan,Bronx,Card,27.30,5.40,7.2,false
T-027,2025-01-16,8,Brooklyn,Manhattan,Cash,24.80,0.00,6.4,false
T-028,2025-01-16,17,Queens,Brooklyn,Card,13.50,2.70,3.5,false
T-029,2025-01-17,7,Manhattan,Queens,Card,33.90,6.70,8.8,true
T-030,2025-01-17,14,Bronx,Brooklyn,Cash,20.40,0.00,5.4,false
T-031,2025-01-18,9,Manhattan,Manhattan,Card,11.20,2.20,1.9,false
T-032,2025-01-18,21,Brooklyn,Queens,Card,16.80,3.30,4.3,false
T-033,2025-01-19,6,Queens,Manhattan,Card,28.60,5.70,7.3,true
T-034,2025-01-19,10,Manhattan,Brooklyn,Cash,17.30,0.00,4.5,false
T-035,2025-01-20,8,Manhattan,Queens,Card,37.20,7.40,9.6,true
T-036,2025-01-20,15,Brooklyn,Manhattan,Card,21.90,4.30,5.7,false
T-037,2025-01-21,7,Queens,Manhattan,Cash,26.40,0.00,6.8,true
T-038,2025-01-21,18,Manhattan,Bronx,Card,29.80,5.90,7.9,false
T-039,2025-01-22,9,Staten Island,Brooklyn,Card,38.50,7.70,10.5,false
T-040,2025-01-22,12,Manhattan,Manhattan,Card,10.50,2.10,1.7,false
